id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,is_canceled
9111,2,0,2,3,Meal Plan 1,0,Room_Type 1,68,2018,4,2,Online,0,0,0,89.93,1,0
9112,2,0,0,4,Meal Plan 2,0,Room_Type 1,107,2018,7,13,Online,0,0,0,139.5,1,0
9113,2,0,2,1,Not Selected,0,Room_Type 1,0,2018,10,1,Online,0,0,0,98.1,0,0
9114,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,4,1,Corporate,1,0,2,67,0,0
9115,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,2,18,Online,0,0,0,94,1,0
9116,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,8,30,Online,0,0,0,85.24,0,0
9117,2,0,1,2,Not Selected,1,Room_Type 1,11,2018,10,3,Online,0,0,0,144,2,0
9118,1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73,0,0
9119,1,0,1,2,Meal Plan 1,0,Room_Type 1,219,2017,9,4,Offline,0,0,0,76.67,0,0
9120,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2017,9,21,Online,0,0,0,124,0,0
9121,2,0,0,1,Not Selected,0,Room_Type 1,119,2018,6,28,Online,0,0,0,85.5,0,1
9122,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,115,1,1
9123,2,2,2,1,Meal Plan 1,0,Room_Type 6,88,2018,9,24,Online,0,0,0,207.9,1,1
9124,2,0,0,3,Meal Plan 1,0,Room_Type 1,62,2018,6,9,Online,0,0,0,117.9,0,0
9125,2,0,1,3,Meal Plan 2,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,86,0,1
9126,2,0,1,0,Not Selected,0,Room_Type 1,48,2018,11,6,Online,0,0,0,79.2,1,0
9127,2,0,0,1,Meal Plan 1,0,Room_Type 1,26,2018,6,8,Offline,0,0,0,120,0,0
9128,2,0,0,3,Meal Plan 1,0,Room_Type 1,16,2018,12,6,Online,0,0,0,104,0,0
9129,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,0
9130,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2018,3,25,Offline,0,0,0,65,0,1
9131,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,2018,10,11,Online,0,0,0,132.3,0,1
9132,2,0,2,3,Meal Plan 1,0,Room_Type 4,77,2018,12,24,Online,0,0,0,74.61,1,0
9133,3,0,2,1,Meal Plan 1,1,Room_Type 1,2,2018,3,27,Offline,0,0,0,100.47,1,0
9134,2,0,0,3,Meal Plan 1,0,Room_Type 1,193,2017,10,15,Offline,0,0,0,65,0,1
9135,2,0,1,2,Meal Plan 1,0,Room_Type 2,37,2018,2,12,Online,0,0,0,71.55,0,0
9136,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,27,Online,0,0,0,80,1,0
9137,3,0,1,0,Meal Plan 1,0,Room_Type 4,74,2018,10,31,Online,0,0,0,123.3,0,0
9138,2,0,0,3,Meal Plan 1,0,Room_Type 4,72,2018,4,14,Online,0,0,0,118.8,0,1
9139,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,0,0,0,115,1,1
9140,2,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,8,21,Online,0,0,0,167,0,1
9141,1,0,1,3,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110,0,0
9142,2,0,1,3,Meal Plan 1,0,Room_Type 1,185,2018,10,10,Online,0,0,0,113.4,2,1
9143,2,0,1,2,Meal Plan 1,0,Room_Type 1,34,2018,2,12,Online,0,0,0,78.3,0,0
9144,1,2,0,1,Meal Plan 1,0,Room_Type 6,0,2017,8,8,Online,0,0,0,153,0,0
9145,2,0,1,3,Not Selected,0,Room_Type 1,33,2018,12,5,Offline,0,0,0,59.5,0,0
9146,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,72.75,0,0
9147,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Offline,0,0,0,110,0,1
9148,2,0,1,3,Meal Plan 1,0,Room_Type 1,123,2018,6,30,Online,0,0,0,99.45,0,1
9149,2,1,2,2,Meal Plan 1,0,Room_Type 1,45,2018,9,11,Online,0,0,0,162.79,2,0
9150,1,0,1,1,Meal Plan 1,0,Room_Type 1,2,2017,10,10,Offline,0,0,0,106.4,0,0
9151,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Offline,0,0,0,101.33,1,1
9152,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,72.75,0,0
9153,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,3,30,Offline,0,0,0,85.5,0,0
9154,1,1,1,2,Meal Plan 1,0,Room_Type 1,6,2017,9,14,Online,0,0,0,109,2,0
9155,2,0,0,2,Not Selected,0,Room_Type 1,70,2018,10,18,Online,0,0,0,97.2,2,0
9156,2,0,2,0,Meal Plan 1,0,Room_Type 1,18,2018,9,4,Online,0,0,0,122.5,3,0
9157,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61,0,1
9158,2,0,2,1,Meal Plan 1,0,Room_Type 4,64,2018,4,23,Online,0,0,0,118.8,1,1
9159,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100,0,0
9160,3,0,1,3,Meal Plan 1,0,Room_Type 4,96,2018,9,1,Online,0,0,0,166.05,4,0
9161,2,0,1,2,Meal Plan 1,0,Room_Type 4,62,2018,10,14,Online,0,0,0,132.3,3,0
9162,1,0,1,3,Meal Plan 1,0,Room_Type 1,5,2018,5,16,Corporate,0,0,0,98.32,0,0
9163,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,3,17,Offline,0,0,0,82.4,1,0
9164,2,0,2,1,Meal Plan 1,0,Room_Type 1,18,2018,10,29,Online,0,0,0,140,1,1
9165,2,0,0,3,Meal Plan 1,0,Room_Type 4,23,2017,10,21,Offline,0,0,0,75,1,0
9166,3,0,0,1,Meal Plan 1,0,Room_Type 4,95,2018,5,21,Online,0,0,0,159.3,0,1
9167,2,0,0,2,Not Selected,0,Room_Type 1,138,2018,11,22,Online,0,0,0,79.2,1,0
9168,2,0,0,3,Not Selected,0,Room_Type 1,68,2018,10,18,Online,0,0,0,108,2,0
9169,2,0,1,0,Meal Plan 1,0,Room_Type 1,258,2018,10,16,Offline,0,0,0,110,0,1
9170,2,1,2,7,Meal Plan 1,0,Room_Type 1,139,2018,7,13,Online,0,0,0,86.92,0,1
9171,2,0,1,0,Meal Plan 1,0,Room_Type 1,51,2017,10,11,Online,0,0,0,94.5,1,0
9172,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,80,0,1
9173,2,0,2,2,Meal Plan 1,0,Room_Type 1,6,2018,12,30,Online,0,0,0,122.48,3,0
9174,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2018,7,19,Online,0,0,0,134.33,2,0
9175,2,0,0,2,Meal Plan 1,0,Room_Type 1,118,2018,5,26,Offline,0,0,0,80.75,0,0
9176,1,0,0,1,Not Selected,0,Room_Type 1,196,2018,10,1,Online,0,0,0,93.6,1,1
9177,1,0,0,2,Meal Plan 2,0,Room_Type 1,6,2017,12,10,Online,0,0,0,0,0,0
9178,2,0,0,2,Meal Plan 1,0,Room_Type 1,3,2018,3,2,Online,0,0,0,101,0,1
9179,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110,0,1
9180,2,0,0,0,Not Selected,0,Room_Type 1,33,2018,2,20,Online,0,0,0,0,1,0
9181,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,Offline,0,0,0,90,0,1
9182,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,3,2,Online,0,0,0,89,0,0
9183,2,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,1,16,Online,0,0,0,80.3,1,0
9184,2,0,2,4,Meal Plan 1,0,Room_Type 4,123,2018,5,22,Online,0,0,0,114.75,1,1
9185,2,0,1,2,Meal Plan 1,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,75,0,1
9186,3,0,2,1,Meal Plan 1,0,Room_Type 6,54,2018,10,9,Online,0,0,0,146.92,2,0
9187,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107,0,1
9188,2,0,0,3,Meal Plan 1,0,Room_Type 1,308,2018,11,23,Online,0,0,0,78.3,2,1
9189,2,0,0,4,Meal Plan 1,0,Room_Type 4,40,2018,12,7,Online,0,0,0,96.91,1,0
9190,2,0,1,1,Meal Plan 1,0,Room_Type 4,109,2018,6,27,Online,0,0,0,86.9,0,1
9191,2,1,1,0,Meal Plan 1,0,Room_Type 1,62,2018,8,21,Online,0,0,0,152.1,0,1
9192,3,0,0,3,Meal Plan 1,0,Room_Type 4,198,2018,9,22,Online,0,0,0,159.3,3,0
9193,2,0,0,3,Not Selected,0,Room_Type 1,1,2017,8,5,Online,0,0,0,80,1,0
9194,1,0,0,1,Meal Plan 2,0,Room_Type 4,55,2018,4,6,Offline,0,0,0,92,0,0
9195,1,0,2,3,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,76,0,0
9196,1,0,2,5,Meal Plan 1,0,Room_Type 1,68,2018,8,29,Online,0,0,0,92.35,1,0
9197,2,0,1,2,Meal Plan 1,0,Room_Type 1,41,2017,10,16,Online,0,0,0,105.9,2,0
9198,2,0,2,5,Meal Plan 1,0,Room_Type 4,65,2018,4,14,Online,0,0,0,110.99,1,1
9199,1,0,2,2,Meal Plan 1,0,Room_Type 1,104,2018,4,15,Online,0,0,0,76.5,0,1
9200,2,0,2,3,Meal Plan 1,0,Room_Type 1,157,2018,8,21,Online,0,0,0,75.27,0,1
9201,1,0,1,2,Meal Plan 1,0,Room_Type 6,17,2018,10,10,Online,0,0,0,176.33,1,0
9202,2,0,0,4,Meal Plan 1,1,Room_Type 4,75,2018,3,22,Online,0,0,0,108.45,0,0
9203,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,115,1,1
9204,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,2018,4,11,Online,0,0,0,90.95,1,0
9205,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,21,Corporate,1,0,2,76,0,0
9206,1,0,0,2,Meal Plan 1,0,Room_Type 1,12,2018,1,26,Corporate,0,0,0,80,0,0
9207,2,0,1,0,Not Selected,0,Room_Type 1,44,2018,4,4,Online,0,0,0,107.1,0,1
9208,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,87,0,0
9209,1,0,2,2,Meal Plan 1,0,Room_Type 1,16,2018,1,31,Offline,0,0,0,43,0,0
9210,1,0,2,2,Meal Plan 1,0,Room_Type 1,243,2017,9,20,Online,0,0,0,80.7,0,1
9211,2,0,0,5,Meal Plan 1,1,Room_Type 1,8,2017,8,18,Online,0,0,0,93,1,0
9212,2,0,0,3,Meal Plan 1,0,Room_Type 1,87,2018,4,26,Online,0,0,0,96.3,2,0
9213,1,0,2,1,Meal Plan 1,0,Room_Type 1,17,2018,1,23,Online,0,0,0,81,0,0
9214,3,0,0,4,Meal Plan 2,0,Room_Type 4,96,2018,7,12,Online,0,0,0,189,2,0
9215,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2017,9,14,Corporate,0,0,0,65,0,0
9216,3,0,1,4,Meal Plan 1,0,Room_Type 4,195,2018,8,8,Online,0,0,0,130.05,0,1
9217,1,0,1,1,Meal Plan 1,0,Room_Type 1,85,2018,12,3,Online,0,0,0,98,0,1
9218,2,0,2,2,Not Selected,0,Room_Type 1,208,2018,7,30,Online,0,0,0,80.75,0,1
9219,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Offline,0,0,0,110,0,1
9220,1,0,1,2,Meal Plan 1,0,Room_Type 1,91,2018,9,30,Offline,0,0,0,75,0,0
9221,3,0,0,4,Meal Plan 1,0,Room_Type 4,162,2018,7,6,Online,0,0,0,130.05,1,1
9222,2,0,2,0,Meal Plan 1,0,Room_Type 1,13,2017,11,22,Offline,0,0,0,90.6,1,0
9223,2,0,2,1,Meal Plan 2,0,Room_Type 1,96,2018,8,28,Offline,0,0,0,85,0,0
9224,2,1,1,1,Meal Plan 1,0,Room_Type 1,10,2018,3,19,Online,0,0,0,127,1,0
9225,0,2,2,2,Meal Plan 1,0,Room_Type 2,31,2018,9,16,Online,0,0,0,124.25,2,0
9226,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,80,0,0
9227,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,12,13,Corporate,0,0,0,79,1,0
9228,2,0,0,2,Meal Plan 1,0,Room_Type 1,122,2018,4,15,Offline,0,0,0,85,0,0
9229,2,1,0,1,Meal Plan 1,0,Room_Type 1,45,2018,7,5,Online,0,0,0,134.1,1,0
9230,3,0,2,1,Meal Plan 1,0,Room_Type 4,79,2018,7,9,Online,0,0,0,146.7,1,1
9231,2,0,1,5,Meal Plan 1,0,Room_Type 1,44,2018,6,28,Online,0,0,0,117.9,1,0
9232,2,0,0,1,Meal Plan 1,0,Room_Type 1,44,2018,6,22,Online,0,0,0,87.31,1,0
9233,1,0,2,2,Meal Plan 1,0,Room_Type 4,4,2018,4,10,Online,0,0,0,135,0,1
9234,2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2017,11,27,Offline,0,0,0,80,0,0
9235,1,0,3,6,Meal Plan 1,0,Room_Type 4,78,2018,7,4,Online,0,0,0,128.8,1,0
9236,2,0,2,1,Meal Plan 2,0,Room_Type 1,96,2017,7,11,Offline,0,0,0,94.5,0,1
9237,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109,0,0
9238,2,0,1,4,Meal Plan 1,0,Room_Type 1,30,2018,1,6,Offline,0,0,0,60,0,0
9239,2,0,2,2,Meal Plan 1,0,Room_Type 1,8,2017,11,6,Online,0,0,0,104.5,1,0
9240,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,0
9241,2,0,1,2,Meal Plan 1,0,Room_Type 1,233,2018,10,14,Offline,0,0,0,90,0,1
9242,2,0,0,1,Meal Plan 1,0,Room_Type 5,0,2018,5,24,Corporate,1,0,3,159,0,0
9243,2,0,1,2,Meal Plan 1,0,Room_Type 1,89,2018,12,19,Offline,0,0,0,75,0,0
9244,3,0,0,1,Meal Plan 1,0,Room_Type 1,20,2018,3,17,Online,0,0,0,127,2,0
9245,2,0,0,3,Meal Plan 1,0,Room_Type 1,50,2018,1,14,Offline,0,0,0,52,1,0
9246,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Offline,0,0,0,117,1,1
9247,1,0,0,2,Meal Plan 1,0,Room_Type 1,33,2017,9,15,Online,0,0,0,85.5,2,0
9248,2,0,2,2,Meal Plan 1,0,Room_Type 4,33,2018,11,12,Offline,0,0,0,78.2,1,0
9249,2,1,1,4,Meal Plan 1,0,Room_Type 4,69,2018,4,27,Online,0,0,0,108.53,2,0
9250,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,72.75,0,0
9251,2,0,1,3,Meal Plan 1,0,Room_Type 1,212,2018,5,30,Online,0,0,0,84.31,0,1
9252,2,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,70,1,0
9253,2,0,1,3,Meal Plan 1,0,Room_Type 1,290,2018,12,1,Online,0,0,0,73.95,0,1
9254,1,0,1,2,Meal Plan 1,0,Room_Type 1,10,2017,8,21,Online,0,0,0,80,2,0
9255,1,0,0,3,Meal Plan 1,0,Room_Type 1,7,2018,5,5,Offline,0,0,0,112,0,0
9256,3,0,2,1,Meal Plan 2,0,Room_Type 1,11,2017,8,15,Offline,0,0,0,138.5,1,0
9257,2,0,2,1,Meal Plan 1,0,Room_Type 1,3,2018,2,13,Offline,0,0,0,85,0,0
9258,2,0,1,2,Meal Plan 1,0,Room_Type 1,37,2017,12,14,Offline,0,0,0,70,0,0
9259,2,0,0,5,Meal Plan 1,0,Room_Type 1,0,2017,9,8,Online,0,0,0,146.4,2,0
9260,2,0,0,2,Meal Plan 1,1,Room_Type 4,88,2018,9,16,Online,0,0,0,158.4,1,0
9261,3,0,0,2,Meal Plan 1,0,Room_Type 4,47,2018,6,22,Online,0,0,0,134.1,0,1
9262,1,0,0,2,Meal Plan 1,0,Room_Type 1,17,2018,4,21,Corporate,0,0,0,65,0,0
9263,2,0,1,1,Meal Plan 1,0,Room_Type 1,16,2018,10,8,Offline,0,0,0,85,1,0
9264,1,0,0,1,Meal Plan 1,0,Room_Type 4,10,2018,9,30,Online,0,0,0,195,2,0
9265,2,0,2,1,Meal Plan 1,0,Room_Type 1,38,2017,12,13,Online,0,0,0,87,2,0
9266,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2018,8,15,Online,0,0,0,90.95,1,0
9267,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,2018,10,11,Online,0,0,0,132.3,0,1
9268,2,0,2,3,Meal Plan 1,0,Room_Type 2,58,2018,10,15,Online,0,0,0,110.36,2,0
9269,0,2,2,4,Meal Plan 1,0,Room_Type 2,23,2018,5,21,Online,0,0,0,128.49,0,1
9270,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110,0,1
9271,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100,0,0
9272,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,116,0,0
9273,2,0,0,3,Meal Plan 1,0,Room_Type 2,218,2018,8,3,Online,0,0,0,86.62,0,1
9274,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81,0,0
9275,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,67,0,0
9276,1,1,1,3,Not Selected,0,Room_Type 1,37,2018,9,5,Online,0,0,0,72.91,1,0
9277,1,0,1,0,Meal Plan 1,0,Room_Type 1,51,2018,5,22,Corporate,1,0,3,65,0,0
9278,2,0,0,2,Meal Plan 1,0,Room_Type 1,97,2018,4,8,Online,0,0,0,96.3,2,0
9279,2,0,3,5,Not Selected,0,Room_Type 1,112,2018,7,11,Online,0,0,0,95.63,1,0
9280,2,0,1,2,Meal Plan 1,0,Room_Type 1,28,2018,2,26,Online,0,0,0,70.04,1,0
9281,1,0,0,2,Not Selected,0,Room_Type 1,2,2018,10,27,Online,0,0,0,139,3,0
9282,3,0,0,2,Meal Plan 1,0,Room_Type 5,48,2018,9,14,Offline,0,0,0,175,0,0
9283,2,0,2,2,Meal Plan 1,0,Room_Type 1,64,2018,3,11,Online,0,0,0,73.95,0,1
9284,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,1
9285,2,0,0,4,Meal Plan 1,0,Room_Type 4,11,2017,12,30,Online,0,0,0,129.5,0,0
9286,2,0,4,11,Meal Plan 1,0,Room_Type 4,237,2018,9,13,Online,0,0,0,116.62,1,1
9287,2,0,1,3,Meal Plan 1,0,Room_Type 1,1,2018,12,5,Online,0,0,0,65.76,1,0
9288,2,0,2,2,Meal Plan 1,0,Room_Type 1,98,2018,8,21,Online,0,0,0,117.9,1,0
9289,1,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,120,0,0
9290,1,0,6,13,Meal Plan 1,0,Room_Type 4,102,2018,5,15,Online,0,0,0,132.6,1,1
9291,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100,0,0
9292,2,1,1,1,Not Selected,0,Room_Type 1,158,2018,12,24,Online,0,0,0,79.2,1,1
9293,2,0,1,3,Not Selected,0,Room_Type 1,6,2018,12,15,Online,0,0,0,66.3,0,0
9294,2,0,2,1,Meal Plan 1,0,Room_Type 1,15,2018,1,24,Online,0,0,0,68.99,1,0
9295,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115,1,1
9296,1,0,1,2,Meal Plan 1,1,Room_Type 1,11,2018,4,11,Aviation,0,0,0,104,0,0
9297,2,0,0,3,Meal Plan 1,0,Room_Type 1,328,2018,9,29,Online,0,0,0,95.4,0,1
9298,2,0,1,2,Meal Plan 1,0,Room_Type 2,11,2017,12,25,Online,0,0,0,80.41,0,0
9299,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Online,0,0,0,1,0,0
9300,2,0,0,4,Meal Plan 1,0,Room_Type 1,58,2018,11,23,Offline,0,0,0,75,0,0
9301,2,0,2,5,Meal Plan 1,0,Room_Type 4,51,2018,9,2,Online,0,0,0,123.69,3,0
9302,2,0,1,2,Not Selected,0,Room_Type 1,47,2018,3,11,Online,0,0,0,71.1,1,0
9303,2,0,0,3,Not Selected,0,Room_Type 1,88,2018,12,15,Online,0,0,0,79.2,1,0
9304,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,87,0,1
9305,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,12,20,Online,0,0,0,93.6,1,1
9306,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120,0,0
9307,2,1,0,5,Meal Plan 1,0,Room_Type 1,138,2018,8,9,Online,0,0,0,101.49,1,0
9308,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140,0,0
9309,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,10,27,Corporate,0,0,0,75,0,0
9310,2,1,0,2,Meal Plan 1,0,Room_Type 4,129,2018,12,8,Online,0,0,0,101.18,3,0
9311,2,0,2,3,Meal Plan 1,0,Room_Type 1,134,2018,5,5,Online,0,0,0,99.45,1,0
9312,1,0,1,3,Meal Plan 1,0,Room_Type 1,29,2018,4,18,Online,0,0,0,97.33,0,0
9313,2,0,0,1,Meal Plan 1,0,Room_Type 2,210,2017,7,30,Online,0,0,0,76.5,0,1
9314,2,0,2,0,Meal Plan 2,0,Room_Type 1,75,2018,10,30,Offline,0,0,0,105,0,1
9315,2,0,0,1,Meal Plan 1,0,Room_Type 1,47,2017,9,22,Online,0,0,0,72.76,1,0
9316,2,0,1,1,Meal Plan 2,0,Room_Type 1,88,2017,10,5,Offline,0,0,0,112.2,0,0
9317,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Offline,0,0,0,94.5,0,0
9318,1,0,2,2,Meal Plan 1,0,Room_Type 1,10,2018,3,5,Corporate,1,2,24,66,1,0
9319,2,0,0,1,Meal Plan 1,0,Room_Type 2,217,2017,8,7,Online,0,0,0,76.5,3,0
9320,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120,0,1
9321,2,0,1,3,Meal Plan 1,0,Room_Type 1,6,2018,9,8,Online,0,0,0,161.5,2,0
9322,2,0,1,3,Not Selected,0,Room_Type 1,1,2017,8,10,Online,0,0,0,96,0,0
9323,2,0,0,2,Not Selected,0,Room_Type 1,11,2017,10,23,Online,0,0,0,114,1,0
9324,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,9,20,Online,0,0,0,110.12,0,0
9325,1,0,1,0,Meal Plan 1,0,Room_Type 1,263,2017,9,21,Offline,0,0,0,59.5,0,0
9326,2,0,1,2,Meal Plan 1,0,Room_Type 1,172,2018,6,27,Online,0,0,0,96.3,1,0
9327,2,0,1,2,Meal Plan 1,0,Room_Type 4,51,2018,9,2,Online,0,0,0,123.3,0,1
9328,2,0,2,3,Meal Plan 1,0,Room_Type 4,86,2018,10,22,Online,0,0,0,121.14,1,1
9329,2,0,2,3,Meal Plan 1,0,Room_Type 1,71,2018,3,13,Online,0,0,0,73.95,0,1
9330,2,0,0,2,Meal Plan 1,0,Room_Type 4,30,2018,10,28,Online,0,0,0,144,0,0
9331,1,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,90,0,0
9332,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,17,Offline,0,0,0,65,0,0
9333,2,0,0,2,Meal Plan 1,0,Room_Type 1,68,2017,9,29,Offline,0,0,0,65,0,0
9334,1,0,0,4,Meal Plan 1,0,Room_Type 7,13,2018,2,3,Corporate,0,0,0,102,0,0
9335,2,0,1,4,Meal Plan 1,0,Room_Type 1,227,2018,8,24,Online,0,0,0,90.95,0,1
9336,2,0,0,2,Not Selected,0,Room_Type 1,46,2018,11,11,Online,0,0,0,79.2,1,1
9337,2,0,1,2,Meal Plan 1,0,Room_Type 1,131,2018,7,4,Online,0,0,0,105.3,1,0
9338,2,0,0,4,Meal Plan 1,0,Room_Type 4,189,2018,8,16,Online,0,0,0,112.2,2,1
9339,1,0,0,3,Meal Plan 1,0,Room_Type 4,28,2018,6,14,Online,0,0,0,108.42,1,0
9340,2,0,0,2,Meal Plan 1,0,Room_Type 4,3,2018,4,15,Online,0,0,0,146,0,1
9341,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,2,22,Corporate,1,0,1,65,0,0
9342,2,0,0,2,Meal Plan 1,0,Room_Type 4,180,2018,7,1,Online,0,0,0,105.3,0,1
9343,2,0,1,3,Meal Plan 1,0,Room_Type 1,12,2018,5,30,Corporate,0,0,0,111.35,0,0
9344,2,2,0,2,Meal Plan 1,0,Room_Type 6,56,2018,7,19,Online,0,0,0,177.3,2,0
9345,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,6,19,Online,0,0,0,106.65,0,1
9346,1,0,0,3,Meal Plan 1,0,Room_Type 4,27,2017,9,17,Online,0,0,0,120,0,0
9347,1,0,1,0,Meal Plan 1,0,Room_Type 1,3,2018,4,11,Corporate,1,0,14,65,1,0
9348,1,0,0,1,Meal Plan 1,0,Room_Type 1,177,2018,7,30,Online,0,0,0,99.9,0,1
9349,2,0,0,2,Meal Plan 1,0,Room_Type 4,29,2018,10,5,Online,0,0,0,166.25,3,0
9350,2,0,2,1,Meal Plan 1,0,Room_Type 1,54,2018,7,3,Offline,0,0,0,85.5,0,0
9351,1,0,1,1,Meal Plan 1,0,Room_Type 1,18,2018,5,9,Offline,0,0,0,88.8,0,0
9352,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,3,22,Online,0,0,0,89,0,0
9353,3,0,0,3,Meal Plan 1,0,Room_Type 4,53,2018,4,7,Online,0,0,0,137.7,1,0
9354,3,0,1,3,Meal Plan 1,0,Room_Type 4,72,2018,12,19,Online,0,0,0,119,0,1
9355,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120,0,1
9356,2,0,2,5,Meal Plan 1,0,Room_Type 1,103,2018,7,15,Online,0,0,0,106.59,1,0
9357,2,0,2,4,Not Selected,0,Room_Type 1,114,2018,11,13,Online,0,0,0,74.8,1,1
9358,2,0,0,1,Meal Plan 1,0,Room_Type 1,43,2017,10,13,Offline,0,0,0,85,0,0
9359,1,0,0,3,Meal Plan 1,0,Room_Type 1,73,2017,11,24,Offline,0,0,0,67.83,0,0
9360,1,0,4,6,Meal Plan 1,0,Room_Type 4,3,2018,5,1,Aviation,0,0,0,110,0,1
